,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
142,47,2021,2.49,MAGDALENA,328343,97.15,96.9,112.69,2.07,94.46,3.47,3.09
143,47,2022,3.0,MAGDALENA,327302,96.16,95.92,118.49,4.9,91.07,4.03,5.02
144,50,2011,3039.0,META,209319,93.65,93.59,102.82,5.55,93.08,1.37,1.48
145,50,2012,2699.0,META,210820,93.35,93.29,103.0,5.85,91.68,2.47,1.8
146,50,2013,2898.0,META,213170,94.83,94.76,106.43,4.49,93.87,1.63,1.15
147,50,2014,5042.0,META,215227,94.77,94.72,106.4,3.02,95.07,1.9,1.41
148,50,2015,5002.02,META,217437,92.19,92.14,103.88,3.3,92.08,4.62,1.1
149,50,2016,5463.87,META,219565,92.4,92.28,104.73,5.35,89.08,5.57,0.86
150,50,2017,5577.21,META,221844,90.9,90.88,102.17,4.2,90.81,4.99,1.04
151,50,2018,2944.59,META,218707,90.3,92.51,104.13,4.47,89.65,5.88,0.89
152,50,2019,1465.5700000000002,META,218194,93.59,93.51,107.15,3.97,90.99,5.04,1.03
153,50,2020,1234.86,META,217673,93.91,93.83,105.44,2.47,87.06,10.47,4.32
154,50,2021,1639.82,META,216914,94.37,94.28,105.94,4.4,86.0,9.6,6.19
155,50,2022,1833.62,META,221130,93.24,93.17,105.25,5.18,87.45,7.37,7.47
156,52,2011,17231.0,NARIÑO,401313,80.53,80.5,93.96,10.17,89.97,1.4,2.53
157,52,2012,10733.0,NARIÑO,401539,77.75,77.73,92.96,1.84,97.02,1.14,1.89
158,52,2013,13177.0,NARIÑO,399032,76.6,76.58,93.62,2.9,95.83,1.26,1.85
159,52,2014,17285.0,NARIÑO,397640,75.23,75.22,89.87,2.91,96.98,0.11,1.6
160,52,2015,29755.49,NARIÑO,396138,73.53,73.51,88.26,1.23,96.42,2.35,1.35
161,52,2016,42627.380000000005,NARIÑO,394574,71.1,71.13,83.28,1.67,96.44,1.89,2.64
162,52,2017,45734.62,NARIÑO,393195,70.2,70.16,83.3,1.4,95.82,2.78,3.17
163,52,2018,41903.31,NARIÑO,314579,67.88,84.54,98.98,1.34,95.42,3.24,2.94
164,52,2019,36964.26,NARIÑO,309763,84.0,83.95,98.35,1.45,95.85,2.7,3.23
165,52,2020,30751.379999999997,NARIÑO,305761,84.15,84.1,97.39,1.75,89.34,8.91,4.68
166,52,2021,56515.94,NARIÑO,302506,83.5,83.43,96.69,2.23,91.83,5.94,6.66
167,52,2022,59746.490000000005,NARIÑO,307217,80.63,80.58,92.87,2.85,92.01,5.14,8.07
168,54,2011,3490.0,NORTE DE SANTANDER,324219,89.04,88.96,102.48,6.87,92.55,0.65,2.19
169,54,2012,4515.0,NORTE DE SANTANDER,322304,86.0,85.93,96.69,4.89,93.58,1.52,2.0
170,54,2013,6345.0,NORTE DE SANTANDER,317334,86.42,86.37,100.76,3.66,95.29,1.05,1.72
171,54,2014,6944.0,NORTE DE SANTANDER,313966,87.2,87.15,98.77,3.3,96.07,0.62,1.64
172,54,2015,11527.11,NORTE DE SANTANDER,310611,85.89,85.84,99.27,2.66,95.75,1.59,1.31
173,54,2016,24830.61,NORTE DE SANTANDER,307238,88.6,88.51,101.66,4.84,91.24,3.91,1.85
174,54,2017,28244.27,NORTE DE SANTANDER,304148,90.4,90.3,105.26,3.6,91.86,4.54,1.24
