,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría cultivo,AÑO,Hectáreas cultivadas,IICA,Categoría IICA
216,52,NARIÑO,52356,IPIALES,Cultivo permanente,2017,1273.67,0.07,Bajo
217,52,NARIÑO,52381,LA FLORIDA,Cultivo intermintente,2017,83.95,0.01,Bajo
218,52,NARIÑO,52385,LA LLANADA,Cultivo permanente,2017,146.45,0.03,Bajo
219,52,NARIÑO,52390,LA TOLA,Cultivo permanente,2017,292.3,0.17,Bajo
220,52,NARIÑO,52405,LEIVA,Cultivo permanente,2017,279.18,0.08,Bajo
221,52,NARIÑO,52411,LINARES,Cultivo permanente,2017,558.06,0.04,Bajo
222,52,NARIÑO,52418,LOS ANDES ,Cultivo permanente,2017,364.39,0.04,Bajo
223,52,NARIÑO,52427,MAGÜÍ ,Cultivo permanente,2017,1716.95,0.48,Medio bajo
224,52,NARIÑO,52435,MALLAMA ,Cultivo intermintente,2017,1.16,0.04,Bajo
225,52,NARIÑO,52473,MOSQUERA,Cultivo permanente,2017,218.44,0.22,Bajo
226,52,NARIÑO,52490,OLAYA HERRERA ,Cultivo permanente,2017,3355.53,0.26,Bajo
227,52,NARIÑO,52540,POLICARPA,Cultivo permanente,2017,960.41,0.47,Medio bajo
228,52,NARIÑO,52573,PUERRES,Cultivo abandonado,2017,0.0,0.01,Bajo
229,52,NARIÑO,52612,RICAURTE,Cultivo permanente,2017,784.16,0.17,Bajo
230,52,NARIÑO,52621,ROBERTO PAYÁN ,Cultivo permanente,2017,2733.71,0.26,Bajo
231,52,NARIÑO,52678,SAMANIEGO,Cultivo permanente,2017,869.33,0.17,Bajo
232,52,NARIÑO,52693,SAN PABLO,Cultivo abandonado,2017,0.0,0.01,Bajo
233,52,NARIÑO,52683,SANDONÁ,Cultivo intermintente,2017,16.13,0.02,Bajo
234,52,NARIÑO,52696,SANTA BÁRBARA ,Cultivo permanente,2017,530.17,0.23,Bajo
235,52,NARIÑO,52699,SANTA CRUZ ,Cultivo permanente,2017,803.08,0.14,Bajo
236,52,NARIÑO,52835,TUMACO,Cultivo permanente,2017,19516.93,0.89,Medio
237,54,NORTE DE SANTANDER,54003,ÁBREGO,Cultivo permanente,2017,65.45,0.06,Bajo
238,54,NORTE DE SANTANDER,54109,BUCARASICA,Cultivo intermintente,2017,3.82,0.05,Bajo
239,54,NORTE DE SANTANDER,54128,CÁCHIRA,Cultivo abandonado,2017,0.0,0.01,Bajo
240,54,NORTE DE SANTANDER,54206,CONVENCIÓN,Cultivo permanente,2017,1315.66,0.53,Medio bajo
241,54,NORTE DE SANTANDER,54001,CÚCUTA,Cultivo permanente,2017,323.11,0.05,Bajo
242,54,NORTE DE SANTANDER,54245,EL CARMEN,Cultivo permanente,2017,758.44,0.92,Medio
243,54,NORTE DE SANTANDER,54250,EL TARRA,Cultivo permanente,2017,4300.6,0.87,Medio
244,54,NORTE DE SANTANDER,54261,EL ZULIA,Cultivo permanente,2017,134.14,0.08,Bajo
245,54,NORTE DE SANTANDER,54344,HACARÍ,Cultivo permanente,2017,386.77,0.67,Medio bajo
246,54,NORTE DE SANTANDER,54385,LA ESPERANZA,Cultivo intermintente,2017,2.02,0.01,Bajo
247,54,NORTE DE SANTANDER,54398,LA PLAYA,Cultivo intermintente,2017,25.59,0.12,Bajo
248,54,NORTE DE SANTANDER,54418,LOURDES,Cultivo abandonado,2017,0.0,0.0,Bajo
249,54,NORTE DE SANTANDER,54498,OCAÑA,Cultivo permanente,2017,10.62,0.08,Bajo
250,54,NORTE DE SANTANDER,54670,SAN CALIXTO,Cultivo permanente,2017,640.32,0.17,Bajo
251,54,NORTE DE SANTANDER,54720,SARDINATA,Cultivo permanente,2017,4112.41,0.4,Bajo
252,54,NORTE DE SANTANDER,54800,TEORAMA,Cultivo permanente,2017,2479.63,1.0,Medio
253,54,NORTE DE SANTANDER,54810,TIBÚ,Cultivo permanente,2017,13685.69,0.81,Medio
254,54,NORTE DE SANTANDER,54820,TOLEDO,Cultivo abandonado,2017,0.0,0.11,Bajo
255,86,PUTUMAYO,86001,MOCOA,Cultivo permanente,2017,76.23,0.06,Bajo
256,86,PUTUMAYO,86320,ORITO,Cultivo permanente,2017,3969.91,0.26,Bajo
257,86,PUTUMAYO,86568,PUERTO ASÍS,Cultivo permanente,2017,9664.6,0.43,Bajo
258,86,PUTUMAYO,86569,PUERTO CAICEDO,Cultivo permanente,2017,2998.37,0.15,Bajo
259,86,PUTUMAYO,86571,PUERTO GUZMÁN,Cultivo permanente,2017,2029.9,0.35,Bajo
260,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,Cultivo permanente,2017,1403.95,0.12,Bajo
261,86,PUTUMAYO,86757,SAN MIGUEL ,Cultivo permanente,2017,3553.66,0.26,Bajo
262,86,PUTUMAYO,86760,SANTIAGO,Cultivo abandonado,2017,0.0,0.01,Bajo
263,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ ,Cultivo permanente,2017,4132.44,0.24,Bajo
264,86,PUTUMAYO,86885,VILLAGARZÓN,Cultivo permanente,2017,1759.91,0.14,Bajo
265,68,SANTANDER,68020,ALBANIA,Cultivo abandonado,2017,0.0,0.02,Bajo
266,68,SANTANDER,68092,BETULIA,Cultivo abandonado,2017,0.0,0.0,Bajo
267,68,SANTANDER,68101,BOLÍVAR,Cultivo intermintente,2017,6.82,0.04,Bajo
268,68,SANTANDER,68176,CHIMA,Cultivo abandonado,2017,0.0,0.0,Bajo
269,68,SANTANDER,68190,CIMITARRA,Cultivo intermintente,2017,3.04,0.02,Bajo
270,68,SANTANDER,68209,CONFINES,Cultivo abandonado,2017,0.0,0.03,Bajo
271,68,SANTANDER,68211,CONTRATACIÓN,Cultivo abandonado,2017,0.0,0.0,Bajo
272,68,SANTANDER,68235,EL CARMEN,Cultivo intermintente,2017,4.51,0.01,Bajo
273,68,SANTANDER,68250,EL PEÑÓN,Cultivo intermintente,2017,0.0,0.02,Bajo
