,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,Cobertura de acueducto,Cobertura de alcantarillado
209,54,NORTE DE SANTANDER,2021,42565.149999999994,39.105,35.791666666666664
210,68,SANTANDER,2008,1745.0,52.142500000000005,35.87
211,68,SANTANDER,2009,925.0,45.00583333333333,34.70708333333334
212,68,SANTANDER,2010,647.0,43.87625,34.504583333333336
213,68,SANTANDER,2011,532.0,43.68086956521739,32.926086956521736
214,68,SANTANDER,2012,110.0,44.621538461538464,27.575000000000003
215,68,SANTANDER,2013,77.0,42.12208333333333,27.77208333333333
216,68,SANTANDER,2014,25.0,44.57923076923077,31.79692307692308
217,68,SANTANDER,2015,19.5,42.4736,29.6624
218,68,SANTANDER,2016,37.24,47.7456,33.0756
219,68,SANTANDER,2017,29.990000000000002,52.08192307692308,35.68692307692308
220,68,SANTANDER,2018,20.58,54.3028,35.1836
221,68,SANTANDER,2019,2.3899999999999997,56.378461538461536,38.46384615384615
222,68,SANTANDER,2020,3.12,59.559615384615384,41.026538461538465
223,68,SANTANDER,2021,10.12,56.058461538461536,39.57230769230769
224,76,VALLE DEL CAUCA,2008,2089.0,57.87,48.00142857142857
225,76,VALLE DEL CAUCA,2009,929.0,55.174285714285716,45.59142857142857
226,76,VALLE DEL CAUCA,2010,665.0,57.04571428571428,50.191428571428574
227,76,VALLE DEL CAUCA,2011,981.0,70.66571428571429,65.66
228,76,VALLE DEL CAUCA,2012,482.0,75.73571428571428,67.17285714285715
229,76,VALLE DEL CAUCA,2013,398.0,73.14285714285714,63.988571428571426
230,76,VALLE DEL CAUCA,2014,561.0,68.89857142857143,58.191428571428574
231,76,VALLE DEL CAUCA,2015,689.98,77.11571428571428,67.20857142857143
232,76,VALLE DEL CAUCA,2016,711.71,64.1375,63.925
233,76,VALLE DEL CAUCA,2017,1261.3100000000002,73.68285714285715,65.22142857142858
234,76,VALLE DEL CAUCA,2018,1270.56,71.84428571428572,62.59285714285714
235,76,VALLE DEL CAUCA,2019,2329.0,75.96428571428571,66.97428571428571
236,76,VALLE DEL CAUCA,2020,1937.86,76.87142857142858,64.38857142857144
237,76,VALLE DEL CAUCA,2021,2589.6400000000003,79.07285714285715,66.63857142857144
238,81,ARAUCA,2008,355.0,66.16499999999999,64.6275
239,81,ARAUCA,2009,383.0,58.112500000000004,55.92
