,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
183,86,PUTUMAYO,86757,SAN MIGUEL ,1999,0.0
184,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ ,1999,35208.0
185,86,PUTUMAYO,86885,VILLAGARZÓN,1999,0.0
186,91,AMAZONAS,91001,LETICIA,1999,237.5
187,91,AMAZONAS,91263,EL ENCANTO ,1999,0.0
188,91,AMAZONAS,91540,PUERTO NARIÑO,1999,0.0
189,91,AMAZONAS,91798,TARAPACÁ ,1999,0.0
190,94,GUAINIA,94001,INIRIDA,1999,625.0
191,94,GUAINIA,94343,BARRANCO MINA ,1999,0.0
192,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,1999,0.0
193,95,GUAVIARE,95025,EL RETORNO,1999,0.0
194,95,GUAVIARE,95200,MIRAFLORES,1999,0.0
195,97,VAUPES,97161,CARURÚ,1999,0.0
196,99,VICHADA,99001,PUERTO CARREÑO,1999,625.0
197,99,VICHADA,99524,LA PRIMAVERA,1999,0.0
198,99,VICHADA,99773,CUMARIBO,1999,3750.0
199,5,ANTIOQUIA,5001,MEDELLÍN,1999,0.0
200,5,ANTIOQUIA,5031,AMALFI,1999,0.0
201,5,ANTIOQUIA,5038,ANGOSTURA,1999,0.0
202,5,ANTIOQUIA,5040,ANORÍ,1999,0.0
203,5,ANTIOQUIA,5045,APARTADÓ,1999,0.0
204,5,ANTIOQUIA,5055,ARGELIA,1999,0.0
205,5,ANTIOQUIA,5107,BRICEÑO,1999,0.0
206,5,ANTIOQUIA,5134,CAMPAMENTO,1999,0.0
207,5,ANTIOQUIA,5138,CAÑASGORDAS,1999,0.0
208,5,ANTIOQUIA,5142,CARACOLÍ,1999,0.0
209,5,ANTIOQUIA,5145,CARAMANTA,1999,0.0
210,5,ANTIOQUIA,5234,DABEIBA,1999,0.0
211,5,ANTIOQUIA,5310,GÓMEZ PLATA,1999,0.0
212,5,ANTIOQUIA,5360,ITAGÜÍ,1999,0.0
213,5,ANTIOQUIA,5361,ITUANGO,1999,0.0
214,5,ANTIOQUIA,5411,LIBORINA,1999,0.0
215,5,ANTIOQUIA,5480,MUTATÁ,1999,0.0
216,5,ANTIOQUIA,5543,PEQUE,1999,0.0
217,5,ANTIOQUIA,5585,PUERTO NARE,1999,0.0
218,5,ANTIOQUIA,5591,PUERTO TRIUNFO,1999,0.0
219,5,ANTIOQUIA,5604,REMEDIOS,1999,0.0
220,5,ANTIOQUIA,5649,SAN CARLOS,1999,0.0
221,5,ANTIOQUIA,5660,SAN LUIS,1999,0.0
222,5,ANTIOQUIA,5736,SEGOVIA,1999,0.0
223,5,ANTIOQUIA,5756,SONSÓN,1999,0.0
224,5,ANTIOQUIA,5819,TOLEDO,1999,0.0
225,5,ANTIOQUIA,5842,URAMITA,1999,0.0
226,5,ANTIOQUIA,5858,VEGACHÍ,1999,0.0
227,5,ANTIOQUIA,5885,YALÍ,1999,0.0
228,5,ANTIOQUIA,5887,YARUMAL,1999,0.0
229,5,ANTIOQUIA,5890,YOLOMBÓ,1999,0.0
230,11,BOGOTÁ D.C.,11001,BOGOTÁ D.C.,1999,0.0
231,13,BOLÍVAR,13001,CARTAGENA DE INDIAS ,1999,0.0
232,13,BOLÍVAR,13006,ACHÍ,1999,0.0
233,13,BOLÍVAR,13042,ARENAL,1999,0.0
234,13,BOLÍVAR,13442,MARIA LA BAJA,1999,0.0
235,13,BOLÍVAR,13468,MOMPÓS,1999,0.0
236,13,BOLÍVAR,13580,REGIDOR,1999,0.0
237,13,BOLÍVAR,13654,SAN JACINTO,1999,0.0
238,15,BOYACÁ,15001,TUNJA,1999,0.0
239,15,BOYACÁ,15047,AQUITANIA,1999,0.0
240,15,BOYACÁ,15106,BRICEÑO,1999,0.0
241,15,BOYACÁ,15109,BUENAVISTA,1999,0.0
242,15,BOYACÁ,15223,CUBARÁ,1999,0.0
243,15,BOYACÁ,15236,CHIVOR,1999,0.0
244,15,BOYACÁ,15667,SAN LUIS DE GACENO,1999,0.0
245,15,BOYACÁ,15686,SANTANA,1999,0.0
246,17,CALDAS,17380,LA DORADA,1999,0.0
247,17,CALDAS,17444,MARQUETALIA,1999,0.0
