,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Hectáreas asperjadas
214,27,CHOCÓ,27160,CÉRTEGUI,1994,0.0
215,27,CHOCÓ,27205,CONDOTO,1994,0.0
216,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,1994,0.0
217,27,CHOCÓ,27425,MEDIO ATRATO,1994,0.0
218,27,CHOCÓ,27450,MEDIO SAN JUAN,1994,0.0
219,27,CHOCÓ,27580,RÍO IRÓ,1994,0.0
220,27,CHOCÓ,27615,RIOSUCIO,1994,0.0
221,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,1994,0.0
222,27,CHOCÓ,27787,TADÓ,1994,0.0
223,27,CHOCÓ,27800,UNGUÍA,1994,0.0
224,27,CHOCÓ,27810,UNIÓN PANAMERICANA,1994,0.0
225,52,NARIÑO,52207,CONSACÁ,1994,0.0
226,52,NARIÑO,52254,EL PEÑOL,1994,0.0
227,52,NARIÑO,52411,LINARES,1994,0.0
228,52,NARIÑO,52683,SANDONÁ,1994,0.0
229,76,VALLE DEL CAUCA,76100,BOLÍVAR,1994,0.0
230,76,VALLE DEL CAUCA,76126,CALIMA,1994,0.0
231,76,VALLE DEL CAUCA,76233,DAGUA,1994,0.0
232,76,VALLE DEL CAUCA,76250,EL DOVIO,1994,0.0
233,76,VALLE DEL CAUCA,76890,YOTOCO,1994,0.0
234,86,PUTUMAYO,86755,SAN FRANCISCO,1994,0.0
235,5,ANTIOQUIA,5120,CÁCERES,1995,0.0
236,5,ANTIOQUIA,5361,ITUANGO,1995,0.0
237,5,ANTIOQUIA,5652,SAN FRANCISCO,1995,0.0
238,5,ANTIOQUIA,5790,TARAZÁ,1995,0.0
239,5,ANTIOQUIA,5854,VALDIVIA,1995,0.0
240,18,CAQUETÁ,18029,ALBANIA,1995,0.0
241,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,1995,0.0
242,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,1995,0.0
243,18,CAQUETÁ,18205,CURILLO,1995,0.0
244,18,CAQUETÁ,18247,EL DONCELLO,1995,0.0
245,18,CAQUETÁ,18256,EL PAUJÍL,1995,0.0
246,18,CAQUETÁ,18410,LA MONTAÑITA,1995,0.0
247,18,CAQUETÁ,18460,MILÁN,1995,0.0
248,18,CAQUETÁ,18592,PUERTO RICO,1995,0.0
249,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,1995,0.0
250,18,CAQUETÁ,18756,SOLANO,1995,0.0
251,18,CAQUETÁ,18785,SOLITA,1995,0.0
252,18,CAQUETÁ,18860,VALPARAÍSO,1995,0.0
253,19,CAUCA,19533,PIAMONTE,1995,0.0
254,23,CÓRDOBA,23580,PUERTO LIBERTADOR,1995,0.0
255,50,META,50325,MAPIRIPÁN,1995,484.0
256,50,META,50450,PUERTO CONCORDIA,1995,376.0
257,50,META,50577,PUERTO LLERAS,1995,149.0
258,50,META,50590,PUERTO RICO,1995,1072.0
259,50,META,50689,SAN MARTÍN,1995,390.0
260,50,META,50711,VISTAHERMOSA,1995,0.0
261,86,PUTUMAYO,86569,PUERTO CAICEDO,1995,0.0
262,86,PUTUMAYO,86571,PUERTO GUZMÁN,1995,0.0
263,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,1995,0.0
264,86,PUTUMAYO,86885,VILLAGARZÓN,1995,0.0
265,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,1995,8539.0
266,95,GUAVIARE,95015,CALAMAR,1995,807.0
267,95,GUAVIARE,95025,EL RETORNO,1995,11692.0
268,95,GUAVIARE,95200,MIRAFLORES,1995,356.0
269,97,VAUPÉS,97161,CARURÚ,1995,0.0
270,99,VICHADA,99524,LA PRIMAVERA,1995,0.0
271,99,VICHADA,99773,CUMARIBO,1995,50.0
272,5,ANTIOQUIA,5001,MEDELLÍN,1995,0.0
273,5,ANTIOQUIA,5040,ANORÍ,1995,0.0
274,5,ANTIOQUIA,5055,ARGELIA,1995,0.0
275,5,ANTIOQUIA,5142,CARACOLÍ,1995,0.0
276,5,ANTIOQUIA,5154,CAUCASIA,1995,0.0
277,5,ANTIOQUIA,5209,CONCORDIA,1995,0.0
278,5,ANTIOQUIA,5250,EL BAGRE,1995,0.0
279,5,ANTIOQUIA,5483,NARIÑO,1995,0.0
280,5,ANTIOQUIA,5495,NECHÍ,1995,0.0
281,5,ANTIOQUIA,5585,PUERTO NARE,1995,0.0
282,5,ANTIOQUIA,5591,PUERTO TRIUNFO,1995,0.0
283,5,ANTIOQUIA,5660,SAN LUIS,1995,0.0
284,5,ANTIOQUIA,5736,SEGOVIA,1995,0.0
285,5,ANTIOQUIA,5756,SONSÓN,1995,0.0
286,5,ANTIOQUIA,5789,TÁMESIS,1995,0.0
