,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
407,76,VALLE DEL CAUCA,76670,SAN PEDRO,1999,450.0
408,76,VALLE DEL CAUCA,76736,SEVILLA,1999,0.0
409,76,VALLE DEL CAUCA,76823,TORO,1999,0.0
410,76,VALLE DEL CAUCA,76828,TRUJILLO,1999,0.0
411,76,VALLE DEL CAUCA,76834,TULUÁ,1999,150.0
412,76,VALLE DEL CAUCA,76863,VERSALLES,1999,0.0
413,76,VALLE DEL CAUCA,76890,YOTOCO,1999,250.0
414,76,VALLE DEL CAUCA,76892,YUMBO,1999,0.0
415,76,VALLE DEL CAUCA,76895,ZARZAL,1999,0.0
416,81,ARAUCA,81001,ARAUCA,1999,0.0
417,81,ARAUCA,81065,ARAUQUITA,1999,20.0
418,81,ARAUCA,81300,FORTUL,1999,0.0
419,81,ARAUCA,81736,SARAVENA,1999,0.0
420,81,ARAUCA,81794,TAME,1999,1.0
421,85,CASANARE,85001,YOPAL,1999,0.0
422,85,CASANARE,85300,SABANALARGA,1999,0.0
423,86,PUTUMAYO,86001,MOCOA,1999,50.0
424,86,PUTUMAYO,86320,ORITO,1999,8.0
425,86,PUTUMAYO,86568,PUERTO ASÍS,1999,103.65
426,86,PUTUMAYO,86569,PUERTO CAICEDO,1999,0.0
427,86,PUTUMAYO,86571,PUERTO GUZMÁN,1999,0.0
428,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,1999,1816.25
429,86,PUTUMAYO,86749,SIBUNDOY,1999,0.0
430,86,PUTUMAYO,86755,SAN FRANCISCO,1999,0.0
431,86,PUTUMAYO,86757,SAN MIGUEL ,1999,0.0
432,86,PUTUMAYO,86760,SANTIAGO,1999,0.0
433,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ ,1999,364.5
434,86,PUTUMAYO,86885,VILLAGARZÓN,1999,20.5
435,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,1999,0.0
436,91,AMAZONAS,91001,LETICIA,1999,0.0
437,91,AMAZONAS,91263,EL ENCANTO ,1999,0.0
438,91,AMAZONAS,91798,TARAPACÁ ,1999,0.0
439,94,GUAINIA,94001,INIRIDA,1999,0.0
440,94,GUAINIA,94343,BARRANCO MINA ,1999,0.0
