,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,IPM
136,20,CESAR,20178,CHIRIGUANÁ,Cultivo abandonado,2018,0.0,41.3
137,20,CESAR,20310,GONZÁLEZ,Cultivo permanente,2018,7.1,56.6
138,20,CESAR,20517,PAILITAS,Cultivo abandonado,2018,0.0,46.1
139,20,CESAR,20710,SAN ALBERTO,Cultivo intermintente,2018,13.79,31.9
140,20,CESAR,20770,SAN MARTÍN,Cultivo intermintente,2018,10.21,41.7
141,27,CHOCÓ,27006,ACANDÍ,Cultivo permanente,2018,4.47,51.4
142,27,CHOCÓ,27025,ALTO BAUDÓ ,Cultivo permanente,2018,21.62,90.6
143,27,CHOCÓ,27050,ATRATO ,Cultivo intermintente,2018,0.0,61.5
144,27,CHOCÓ,27075,BAHÍA SOLANO ,Cultivo abandonado,2018,0.0,46.6
145,27,CHOCÓ,27077,BAJO BAUDÓ  ,Cultivo permanente,2018,53.69,80.4
146,27,CHOCÓ,27099,BOJAYÁ ,Cultivo abandonado,2018,0.0,77.1
147,27,CHOCÓ,27150,CARMEN DEL DARIÉN  ,Cultivo permanente,2018,153.39,77.8
148,27,CHOCÓ,27205,CONDOTO,Cultivo permanente,2018,11.43,53.2
149,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,Cultivo intermintente,2018,5.51,60.2
150,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,Cultivo permanente,2018,138.36,83.1
151,27,CHOCÓ,27361,ISTMINA,Cultivo permanente,2018,577.36,55.1
152,27,CHOCÓ,27372,JURADÓ,Cultivo abandonado,2018,0.0,71.8
153,27,CHOCÓ,27413,LLORÓ,Cultivo intermintente,2018,0.0,74.4
154,27,CHOCÓ,27425,MEDIO ATRATO ,Cultivo abandonado,2018,0.0,76.6
155,27,CHOCÓ,27430,MEDIO BAUDÓ ,Cultivo permanente,2018,43.42,80.2
156,27,CHOCÓ,27450,MEDIO SAN JUAN ,Cultivo permanente,2018,224.96,69.7
157,27,CHOCÓ,27491,NÓVITA,Cultivo permanente,2018,130.29,60.1
158,27,CHOCÓ,27495,NUQUÍ,Cultivo abandonado,2018,0.0,72.9
159,27,CHOCÓ,27001,QUIBDÓ,Cultivo permanente,2018,3.52,44.4
160,27,CHOCÓ,27580,RÍO IRÓ ,Cultivo permanente,2018,16.33,75.1
161,27,CHOCÓ,27600,RÍO QUITO ,Cultivo intermintente,2018,0.0,66.8
162,27,CHOCÓ,27615,RIOSUCIO,Cultivo permanente,2018,104.01,70.9
163,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,Cultivo permanente,2018,391.55,59.1
164,27,CHOCÓ,27745,SIPÍ,Cultivo permanente,2018,246.96,69.7
165,27,CHOCÓ,27787,TADÓ,Cultivo abandonado,2018,0.0,59.9
166,27,CHOCÓ,27800,UNGUÍA,Cultivo permanente,2018,28.26,63.4
167,27,CHOCÓ,27810,UNIÓN PANAMERICANA ,Cultivo abandonado,2018,0.0,57.4
168,23,CÓRDOBA,23350,LA APARTADA,Cultivo abandonado,2018,0.0,52.6
169,23,CÓRDOBA,23466,MONTELÍBANO,Cultivo permanente,2018,974.04,41.1
170,23,CÓRDOBA,23580,PUERTO LIBERTADOR,Cultivo permanente,2018,1013.93,58.9
171,23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,Cultivo permanente,2018,441.7,61.3
172,23,CÓRDOBA,23807,TIERRALTA,Cultivo permanente,2018,2201.26,63.8
173,23,CÓRDOBA,23855,VALENCIA,Cultivo permanente,2018,5.48,53.1
174,25,CUNDINAMARCA,25148,CAPARRAPÍ,Cultivo abandonado,2018,0.0,41.2
175,25,CUNDINAMARCA,25518,PAIME,Cultivo abandonado,2018,0.0,55.0
176,25,CUNDINAMARCA,25823,TOPAIPÍ,Cultivo abandonado,2018,0.0,47.1
177,25,CUNDINAMARCA,25885,YACOPÍ,Cultivo abandonado,2018,0.0,55.5
178,94,GUAINÍA,94001,INIRIDA,Cultivo abandonado,2018,0.0,67.2
179,95,GUAVIARE,95015,CALAMAR,Cultivo permanente,2018,241.84,58.0
180,95,GUAVIARE,95025,EL RETORNO,Cultivo permanente,2018,1545.09,51.5
181,95,GUAVIARE,95200,MIRAFLORES,Cultivo permanente,2018,1378.4,66.7
182,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,Cultivo permanente,2018,1174.63,42.1
183,44,LA GUAJIRA,44090,DIBULLA,Cultivo intermintente,2018,1.61,65.5
184,44,LA GUAJIRA,44001,RIOHACHA,Cultivo abandonado,2018,0.0,45.1
185,47,MAGDALENA,47053,ARACATACA,Cultivo abandonado,2018,0.0,50.0
186,47,MAGDALENA,47189,CIÉNAGA,Cultivo abandonado,2018,0.0,44.6
187,47,MAGDALENA,47288,FUNDACIÓN,Cultivo abandonado,2018,0.0,43.9
188,47,MAGDALENA,47001,SANTA MARTA ,Cultivo permanente,2018,12.45,24.4
189,50,META,50350,LA MACARENA,Cultivo permanente,2018,560.18,67.9
190,50,META,50400,LEJANÍAS,Cultivo abandonado,2018,0.0,39.9
191,50,META,50325,MAPIRIPÁN,Cultivo permanente,2018,231.86,64.2
192,50,META,50330,MESETAS,Cultivo intermintente,2018,45.15,45.1
193,50,META,50450,PUERTO CONCORDIA,Cultivo permanente,2018,35.02,53.0
194,50,META,50568,PUERTO GAITÁN,Cultivo abandonado,2018,0.0,51.8
195,50,META,50577,PUERTO LLERAS,Cultivo intermintente,2018,9.32,43.5
196,50,META,50573,PUERTO LÓPEZ,Cultivo abandonado,2018,0.0,32.7
197,50,META,50590,PUERTO RICO,Cultivo permanente,2018,1081.9,47.1
198,50,META,50683,SAN JUAN DE ARAMA,Cultivo permanente,2018,46.09,37.9
199,50,META,50689,SAN MARTÍN,Cultivo abandonado,2018,0.0,25.5
200,50,META,50370,URIBE,Cultivo intermintente,2018,78.44,60.4
201,50,META,50711,VISTAHERMOSA,Cultivo permanente,2018,856.63,48.5
202,52,NARIÑO,52036,ANCUYA,Cultivo intermintente,2018,24.63,22.2
203,52,NARIÑO,52079,BARBACOAS,Cultivo permanente,2018,3516.29,76.1
204,52,NARIÑO,52110,BUESACO,Cultivo abandonado,2018,0.0,39.2
205,52,NARIÑO,52207,CONSACÁ,Cultivo abandonado,2018,0.0,34.9
206,52,NARIÑO,52210,CONTADERO,Cultivo abandonado,2018,0.0,44.0
207,52,NARIÑO,52215,CÓRDOBA,Cultivo abandonado,2018,0.0,41.8
208,52,NARIÑO,52227,CUMBAL,Cultivo abandonado,2018,0.0,28.6
209,52,NARIÑO,52233,CUMBITARA,Cultivo permanente,2018,778.23,39.4
210,52,NARIÑO,52250,EL CHARCO,Cultivo permanente,2018,5147.73,75.9
211,52,NARIÑO,52254,EL PEÑOL,Cultivo permanente,2018,55.8,43.0
212,52,NARIÑO,52256,EL ROSARIO,Cultivo permanente,2018,842.49,52.1
213,52,NARIÑO,52260,EL TAMBO,Cultivo permanente,2018,98.48,31.9
214,52,NARIÑO,52520,FRANCISCO PIZARRO ,Cultivo permanente,2018,304.75,69.5
215,52,NARIÑO,52356,IPIALES,Cultivo permanente,2018,928.49,23.4
216,52,NARIÑO,52381,LA FLORIDA,Cultivo intermintente,2018,39.87,59.0
217,52,NARIÑO,52385,LA LLANADA,Cultivo permanente,2018,142.47,33.6
218,52,NARIÑO,52390,LA TOLA,Cultivo permanente,2018,280.36,73.9
219,52,NARIÑO,52405,LEIVA,Cultivo permanente,2018,290.17,55.3
220,52,NARIÑO,52411,LINARES,Cultivo permanente,2018,504.71,32.9
221,52,NARIÑO,52418,LOS ANDES ,Cultivo permanente,2018,294.95,44.9
222,52,NARIÑO,52427,MAGÜÍ ,Cultivo permanente,2018,2023.63,85.3
223,52,NARIÑO,52435,MALLAMA ,Cultivo intermintente,2018,18.12,39.0
224,52,NARIÑO,52473,MOSQUERA,Cultivo permanente,2018,227.25,70.2
225,52,NARIÑO,52490,OLAYA HERRERA ,Cultivo permanente,2018,3504.58,75.9
226,52,NARIÑO,52540,POLICARPA,Cultivo permanente,2018,936.4,38.7
227,52,NARIÑO,52573,PUERRES,Cultivo abandonado,2018,0.0,32.7
228,52,NARIÑO,52612,RICAURTE,Cultivo permanente,2018,808.56,71.9
229,52,NARIÑO,52621,ROBERTO PAYÁN ,Cultivo permanente,2018,2852.94,81.0
230,52,NARIÑO,52678,SAMANIEGO,Cultivo permanente,2018,856.85,47.7
231,52,NARIÑO,52693,SAN PABLO,Cultivo abandonado,2018,0.0,41.1
232,52,NARIÑO,52683,SANDONÁ,Cultivo intermintente,2018,8.82,28.9
233,52,NARIÑO,52696,SANTA BÁRBARA ,Cultivo permanente,2018,560.34,75.1
234,52,NARIÑO,52699,SANTA CRUZ ,Cultivo permanente,2018,809.55,65.1
235,52,NARIÑO,52835,TUMACO,Cultivo permanente,2018,16046.85,53.7
236,54,NORTE DE SANTANDER,54003,ÁBREGO,Cultivo permanente,2018,73.29,55.8
237,54,NORTE DE SANTANDER,54109,BUCARASICA,Cultivo intermintente,2018,10.64,67.9
238,54,NORTE DE SANTANDER,54128,CÁCHIRA,Cultivo abandonado,2018,0.0,56.4
239,54,NORTE DE SANTANDER,54206,CONVENCIÓN,Cultivo permanente,2018,1686.74,64.0
240,54,NORTE DE SANTANDER,54001,CÚCUTA,Cultivo permanente,2018,316.89,25.7
241,54,NORTE DE SANTANDER,54245,EL CARMEN,Cultivo permanente,2018,702.19,68.9
242,54,NORTE DE SANTANDER,54250,EL TARRA,Cultivo permanente,2018,4916.63,71.2
243,54,NORTE DE SANTANDER,54261,EL ZULIA,Cultivo permanente,2018,152.03,41.9
244,54,NORTE DE SANTANDER,54344,HACARÍ,Cultivo permanente,2018,402.71,73.4
245,54,NORTE DE SANTANDER,54385,LA ESPERANZA,Cultivo intermintente,2018,2.4,57.1
246,54,NORTE DE SANTANDER,54398,LA PLAYA,Cultivo intermintente,2018,26.83,67.9
247,54,NORTE DE SANTANDER,54418,LOURDES,Cultivo abandonado,2018,0.0,45.3
248,54,NORTE DE SANTANDER,54498,OCAÑA,Cultivo permanente,2018,42.12,31.4
249,54,NORTE DE SANTANDER,54670,SAN CALIXTO,Cultivo permanente,2018,765.34,73.5
250,54,NORTE DE SANTANDER,54720,SARDINATA,Cultivo permanente,2018,5487.34,53.8
251,54,NORTE DE SANTANDER,54800,TEORAMA,Cultivo permanente,2018,2915.98,67.1
252,54,NORTE DE SANTANDER,54810,TIBÚ,Cultivo permanente,2018,16096.74,57.6
253,54,NORTE DE SANTANDER,54820,TOLEDO,Cultivo abandonado,2018,0.0,50.1
254,86,PUTUMAYO,86001,MOCOA,Cultivo permanente,2018,70.14,24.8
255,86,PUTUMAYO,86320,ORITO,Cultivo permanente,2018,3949.26,39.8
256,86,PUTUMAYO,86568,PUERTO ASÍS,Cultivo permanente,2018,7657.88,44.1
257,86,PUTUMAYO,86569,PUERTO CAICEDO,Cultivo permanente,2018,2905.02,38.9
258,86,PUTUMAYO,86571,PUERTO GUZMÁN,Cultivo permanente,2018,2014.05,62.2
259,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,Cultivo permanente,2018,1104.11,53.6
260,86,PUTUMAYO,86757,SAN MIGUEL ,Cultivo permanente,2018,3329.07,48.5
261,86,PUTUMAYO,86760,SANTIAGO,Cultivo abandonado,2018,0.0,37.2
262,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ ,Cultivo permanente,2018,3362.77,41.0
263,86,PUTUMAYO,86885,VILLAGARZÓN,Cultivo permanente,2018,2015.26,37.1
264,68,SANTANDER,68020,ALBANIA,Cultivo abandonado,2018,0.0,48.1
265,68,SANTANDER,68092,BETULIA,Cultivo abandonado,2018,0.0,43.9
266,68,SANTANDER,68101,BOLÍVAR,Cultivo intermintente,2018,3.63,45.5
267,68,SANTANDER,68176,CHIMA,Cultivo abandonado,2018,0.0,45.2
268,68,SANTANDER,68190,CIMITARRA,Cultivo intermintente,2018,1.55,36.0
269,68,SANTANDER,68209,CONFINES,Cultivo abandonado,2018,0.0,32.6
270,68,SANTANDER,68211,CONTRATACIÓN,Cultivo abandonado,2018,0.0,29.2
271,68,SANTANDER,68235,EL CARMEN,Cultivo intermintente,2018,2.84,58.9
272,68,SANTANDER,68250,EL PEÑÓN,Cultivo intermintente,2018,2.24,57.8
273,68,SANTANDER,68255,EL PLAYÓN,Cultivo abandonado,2018,0.0,45.7
274,68,SANTANDER,68271,FLORIÁN,Cultivo abandonado,2018,0.0,56.0
275,68,SANTANDER,68322,GUAPOTÁ,Cultivo abandonado,2018,0.0,31.4
276,68,SANTANDER,68324,GUAVATÁ,Cultivo abandonado,2018,0.0,40.4
277,68,SANTANDER,68377,LA BELLEZA,Cultivo intermintente,2018,0.0,36.1
278,68,SANTANDER,68397,LA PAZ,Cultivo abandonado,2018,0.0,36.1
279,68,SANTANDER,68385,LANDÁZURI,Cultivo abandonado,2018,0.0,49.1
280,68,SANTANDER,68524,PALMAS DEL SOCORRO,Cultivo abandonado,2018,0.0,27.3
281,68,SANTANDER,68573,PUERTO PARRA,Cultivo abandonado,2018,0.0,36.1
282,68,SANTANDER,68615,RIONEGRO,Cultivo intermintente,2018,0.0,37.8
283,68,SANTANDER,68655,SABANA DE TORRES,Cultivo abandonado,2018,0.0,36.6
284,68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,Cultivo abandonado,2018,0.0,34.9
285,68,SANTANDER,68720,SANTA HELENA DEL OPÓN,Cultivo intermintente,2018,6.24,47.9
286,68,SANTANDER,68745,SIMACOTA,Cultivo intermintente,2018,4.08,44.5
287,68,SANTANDER,68755,SOCORRO,Cultivo abandonado,2018,0.0,15.1
288,68,SANTANDER,68773,SUCRE,Cultivo abandonado,2018,0.0,47.1
289,68,SANTANDER,68861,VÉLEZ,Cultivo abandonado,2018,0.0,32.3
290,76,VALLE DEL CAUCA,76100,BOLÍVAR,Cultivo permanente,2018,80.85,29.7
291,76,VALLE DEL CAUCA,76109,BUENAVENTURA,Cultivo permanente,2018,987.23,41.0
292,76,VALLE DEL CAUCA,76001,CALI,Cultivo abandonado,2018,0.0,11.9
293,76,VALLE DEL CAUCA,76126,CALIMA ,Cultivo permanente,2018,44.93,25.7
294,76,VALLE DEL CAUCA,76233,DAGUA,Cultivo permanente,2018,36.61,28.4
295,76,VALLE DEL CAUCA,76364,JAMUNDÍ,Cultivo intermintente,2018,116.92,14.9
296,76,VALLE DEL CAUCA,76834,TULUÁ,Cultivo intermintente,2018,4.02,13.7
297,97,VAUPÉS,97161,CARURÚ,Cultivo permanente,2018,64.74,81.1
298,97,VAUPÉS,97001,MITÚ,Cultivo abandonado,2018,0.0,74.8
299,97,VAUPÉS,97666,TARAIRA,Cultivo abandonado,2018,0.0,85.6
300,99,VICHADA,99773,CUMARIBO,Cultivo permanente,2018,549.97,91.4
301,99,VICHADA,99524,LA PRIMAVERA,Cultivo abandonado,2018,0.0,63.2
302,99,VICHADA,99624,SANTA ROSALÍA,Cultivo abandonado,2018,0.0,56.8
