,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas erradicadas
171,81,ARAUCA,81736,SARAVENA,Territorio sin intervenir en los últimos 5 años,1998,0.0
172,81,ARAUCA,81794,TAME,Territorio sin intervenir en los últimos 5 años,1998,8.0
173,86,PUTUMAYO,86001,MOCOA,Territorio con erradicacion intermitente,1998,0.0
174,86,PUTUMAYO,86320,ORITO,Territorio con erradiacion constante,1998,0.0
175,86,PUTUMAYO,86568,PUERTO ASÍS,Territorio con erradiacion constante,1998,5.0
176,86,PUTUMAYO,86569,PUERTO CAICEDO,Territorio con erradiacion constante,1998,0.0
177,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,Territorio con erradicacion intermitente,1998,20.0
178,86,PUTUMAYO,86749,SIBUNDOY,Territorio sin intervenir en los últimos 5 años,1998,0.0
179,86,PUTUMAYO,86755,SAN FRANCISCO,Territorio con erradicacion intermitente,1998,0.0
180,86,PUTUMAYO,86757,SAN MIGUEL,Territorio con erradiacion constante,1998,0.0
181,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,Territorio con erradiacion constante,1998,0.0
182,86,PUTUMAYO,86885,VILLAGARZÓN,Territorio con erradiacion constante,1998,0.0
183,91,AMAZONAS,91001,LETICIA,Territorio con erradicacion intermitente,1998,0.2
184,91,AMAZONAS,91263,EL ENCANTO,Territorio sin intervenir en los últimos 5 años,1998,0.0
185,91,AMAZONAS,91540,PUERTO NARIÑO,Territorio sin intervenir en los últimos 5 años,1998,0.0
186,94,GUAINÍA,94001,INÍRIDA,Territorio sin intervenir en los últimos 5 años,1998,0.0
187,94,GUAINÍA,94343,BARRANCO MINAS,Territorio sin intervenir en los últimos 5 años,1998,0.0
188,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,Territorio con erradiacion constante,1998,100.8
189,95,GUAVIARE,95025,EL RETORNO,Territorio con erradiacion constante,1998,0.0
190,97,VAUPÉS,97161,CARURÚ,Territorio con erradicacion intermitente,1998,0.0
191,99,VICHADA,99001,PUERTO CARREÑO,Territorio con erradicacion intermitente,1998,0.0
192,99,VICHADA,99524,LA PRIMAVERA,Territorio con erradicacion intermitente,1998,0.0
193,99,VICHADA,99773,CUMARIBO,Territorio con erradicacion intermitente,1998,110.0
194,5,ANTIOQUIA,5031,AMALFI,Territorio con erradicacion intermitente,1998,0.0
195,5,ANTIOQUIA,5045,APARTADÓ,Territorio con erradicacion intermitente,1998,0.0
196,5,ANTIOQUIA,5093,BETULIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
197,5,ANTIOQUIA,5107,BRICEÑO,Territorio con erradicacion intermitente,1998,0.0
198,5,ANTIOQUIA,5134,CAMPAMENTO,Territorio con erradicacion intermitente,1998,0.0
199,5,ANTIOQUIA,5138,CAÑASGORDAS,Territorio sin intervenir en los últimos 5 años,1998,0.0
200,5,ANTIOQUIA,5142,CARACOLÍ,Territorio con erradicacion intermitente,1998,0.0
201,5,ANTIOQUIA,5147,CAREPA,Territorio con erradicacion intermitente,1998,0.0
202,5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,Territorio sin intervenir en los últimos 5 años,1998,0.0
203,5,ANTIOQUIA,5154,CAUCASIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
204,5,ANTIOQUIA,5197,COCORNÁ,Territorio sin intervenir en los últimos 5 años,1998,0.0
205,5,ANTIOQUIA,5209,CONCORDIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
206,5,ANTIOQUIA,5234,DABEIBA,Territorio sin intervenir en los últimos 5 años,1998,0.0
207,5,ANTIOQUIA,5284,FRONTINO,Territorio sin intervenir en los últimos 5 años,1998,0.0
208,5,ANTIOQUIA,5310,GÓMEZ PLATA,Territorio sin intervenir en los últimos 5 años,1998,0.0
209,5,ANTIOQUIA,5411,LIBORINA,Territorio sin intervenir en los últimos 5 años,1998,0.0
210,5,ANTIOQUIA,5425,MACEO,Territorio con erradicacion intermitente,1998,0.0
211,5,ANTIOQUIA,5480,MUTATÁ,Territorio con erradicacion intermitente,1998,0.0
212,5,ANTIOQUIA,5501,OLAYA,Territorio sin intervenir en los últimos 5 años,1998,0.0
213,5,ANTIOQUIA,5543,PEQUE,Territorio sin intervenir en los últimos 5 años,1998,0.0
214,5,ANTIOQUIA,5576,PUEBLORRICO,Territorio sin intervenir en los últimos 5 años,1998,0.0
215,5,ANTIOQUIA,5579,PUERTO BERRÍO,Territorio con erradicacion intermitente,1998,0.0
216,5,ANTIOQUIA,5585,PUERTO NARE,Territorio con erradicacion intermitente,1998,0.0
217,5,ANTIOQUIA,5591,PUERTO TRIUNFO,Territorio con erradicacion intermitente,1998,0.0
218,5,ANTIOQUIA,5615,RIONEGRO,Territorio sin intervenir en los últimos 5 años,1998,0.0
219,5,ANTIOQUIA,5628,SABANALARGA,Territorio con erradicacion intermitente,1998,0.0
220,5,ANTIOQUIA,5642,SALGAR,Territorio con erradicacion intermitente,1998,0.0
221,5,ANTIOQUIA,5647,SAN ANDRÉS DE CUERQUÍA,Territorio sin intervenir en los últimos 5 años,1998,0.0
222,5,ANTIOQUIA,5649,SAN CARLOS,Territorio sin intervenir en los últimos 5 años,1998,0.0
223,5,ANTIOQUIA,5660,SAN LUIS,Territorio con erradicacion intermitente,1998,0.0
224,5,ANTIOQUIA,5667,SAN RAFAEL,Territorio sin intervenir en los últimos 5 años,1998,0.0
225,5,ANTIOQUIA,5670,SAN ROQUE,Territorio sin intervenir en los últimos 5 años,1998,0.0
226,5,ANTIOQUIA,5819,TOLEDO,Territorio con erradicacion intermitente,1998,0.0
