,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Ingreso tributario
571,68,SANTANDER,BOLÍVAR,Cultivo intermintente,2002,101.0,4793.99
572,68,SANTANDER,CHIMA,Cultivo abandonado,2002,10.0,1726.51
573,68,SANTANDER,CIMITARRA,Cultivo intermintente,2002,120.0,12553.44
574,68,SANTANDER,CONFINES,Cultivo abandonado,2002,1.0,1810.29
575,68,SANTANDER,CONTRATACIÓN,Cultivo abandonado,2002,0.0,1420.52
576,68,SANTANDER,EL CARMEN,Cultivo intermintente,2002,18.0,4369.49
577,68,SANTANDER,EL PEÑÓN,Cultivo intermintente,2002,0.0,2131.9
578,68,SANTANDER,EL PLAYÓN,Cultivo abandonado,2002,0.0,3729.35
579,68,SANTANDER,FLORIÁN,Cultivo abandonado,2002,0.0,5142.32
580,68,SANTANDER,GUAPOTÁ,Cultivo abandonado,2002,0.0,1922.88
581,68,SANTANDER,GUAVATÁ,Cultivo abandonado,2002,0.0,2041.17
582,68,SANTANDER,LA BELLEZA,Cultivo intermintente,2002,25.0,3353.68
583,68,SANTANDER,LA PAZ,Cultivo abandonado,2002,0.0,3094.3
584,68,SANTANDER,LANDÁZURI,Cultivo abandonado,2002,43.0,3930.57
585,68,SANTANDER,PALMAS DEL SOCORRO,Cultivo abandonado,2002,1.0,1667.62
586,68,SANTANDER,PUERTO PARRA,Cultivo abandonado,2002,19.0,3062.69
587,68,SANTANDER,RIONEGRO,Cultivo intermintente,2002,1.0,9263.4
588,68,SANTANDER,SABANA DE TORRES,Cultivo abandonado,2002,0.0,0.0
589,68,SANTANDER,SAN VICENTE DE CHUCURÍ,Cultivo abandonado,2002,0.0,9979.82
590,68,SANTANDER,SANTA HELENA DEL OPÓN,Cultivo intermintente,2002,45.0,2107.86
591,68,SANTANDER,SIMACOTA,Cultivo intermintente,2002,19.0,4416.83
592,68,SANTANDER,SOCORRO,Cultivo abandonado,2002,2.0,6711.9
593,68,SANTANDER,SUCRE,Cultivo abandonado,2002,55.0,3737.77
594,68,SANTANDER,VÉLEZ,Cultivo abandonado,2002,0.0,5237.18
595,76,VALLE DEL CAUCA,BOLÍVAR,Cultivo permanente,2002,0.0,4067.4
596,76,VALLE DEL CAUCA,BUENAVENTURA,Cultivo permanente,2002,66.0,69998.21
597,76,VALLE DEL CAUCA,CALI,Cultivo abandonado,2002,0.0,478865.7
598,76,VALLE DEL CAUCA,CALIMA ,Cultivo permanente,2002,0.0,5129.82
599,76,VALLE DEL CAUCA,DAGUA,Cultivo permanente,2002,34.0,8023.55
600,76,VALLE DEL CAUCA,JAMUNDÍ,Cultivo intermintente,2002,11.0,15914.85
601,76,VALLE DEL CAUCA,TULUÁ,Cultivo intermintente,2002,0.0,28071.66
602,97,VAUPÉS,CARURÚ,Cultivo permanente,2002,1125.0,4271.55
603,97,VAUPÉS,MITÚ,Cultivo abandonado,2002,269.0,9652.37
604,97,VAUPÉS,TARAIRA,Cultivo abandonado,2002,0.0,3578.38
605,99,VICHADA,CUMARIBO,Cultivo permanente,2002,4846.0,4091.86
606,99,VICHADA,LA PRIMAVERA,Cultivo abandonado,2002,63.0,6218.43
607,99,VICHADA,SANTA ROSALÍA,Cultivo abandonado,2002,0.0,2715.85
